dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
diabetes_130,label_integrity,content_safety,logreg,downstream_auc,35,-0.8364382875277461,-0.9006829581224229,-0.7779370521969226,-,True,True,True,0.6996290088423478,0.01354933813934527,0.8245624642372225,0.010355005804442844,0.02472231225151612,fraction
diabetes_130,label_integrity,content_safety,logreg,downstream_ece,35,0.9847949982004106,0.9805803471762236,0.9900793143990714,+,True,True,True,0.9698211884805474,0.018738336381401637,0.99970945936389,0.0018385837023021762,0.10786485514330384,fraction
diabetes_130,label_integrity,content_safety,logreg,downstream_brier,35,0.9105024482508647,0.8811766858210424,0.94151011955809,+,True,True,True,0.8290147082708186,0.014439011201258685,0.9341574726492929,0.00896006835561119,0.034918700773566215,fraction
diabetes_130,label_integrity,content_safety,logreg,worst_subgroup_auc,35,-0.4053005328946487,-0.6260248620121907,-0.11208458790080814,-,True,True,True,0.16426852196468622,0.05492091669441355,0.1869584959985473,0.05417023945334254,0.06007646876730552,fraction
diabetes_130,label_integrity,content_safety,logreg,subgroup_auc_gap,35,0.04499366798582605,-0.3338475905650046,0.4126712972140961,+,True,False,False,0.002024430158818813,0.06566217346476098,0.0030483974139443593,0.06562847866642466,0.06572873879159784,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_auc,35,-0.8977381720851968,-0.9355417725671579,-0.867049657373315,-,True,True,True,0.8059338256188707,0.0161741715208651,0.9130885749990013,0.010823944514120916,0.03671530344903111,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_ece,35,0.9852618098873164,0.9811082942095037,0.9904854600541794,+,True,True,True,0.9707408340224299,0.018488335108159157,0.9998804305914001,0.0011818894979808208,0.10808534995050399,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_brier,35,0.9124626686211844,0.883932241688986,0.9427611491473569,+,True,True,True,0.832588121627293,0.014526079582671126,0.9365133900252854,0.008945329724383274,0.03550220149551992,fraction
diabetes_130,label_integrity,content_safety,xgboost,worst_subgroup_auc,35,-0.6822517164195475,-0.8389926866456444,-0.45841613268352177,-,True,True,True,0.46546740455741875,0.042278723401622066,0.5236326121470953,0.039912210341797365,0.05782754679531107,fraction
diabetes_130,label_integrity,content_safety,xgboost,subgroup_auc_gap,35,-0.09472249152905984,-0.44035708901722465,0.2742683063131603,+,False,False,False,0.008972350401472706,0.04572820664419956,0.013233722995775854,0.04562978615322477,0.045934742267165866,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_auc,35,-0.6844485201705216,-0.7792833069805458,-0.5891513959426254,-,True,True,True,0.46846977676361656,0.01108667611870784,0.46846977676361656,0.01108667611870784,0.015206784045201375,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_ece,35,-0.2796747732876278,-0.518108163511148,0.03419927727406965,+,False,False,False,0.07821797881348569,0.001696901186533848,0.07821797881348569,0.001696901186533848,0.0017674308724847034,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_brier,35,0.6368287708869617,0.5536936522077713,0.7363239131502907,+,True,True,True,0.40555088342939616,0.00047589186400489436,0.40555088342939616,0.00047589186400489436,0.0006172355578406132,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,worst_subgroup_auc,35,-0.13531103562405306,-0.4591522728132055,0.1814907255545855,-,True,False,False,0.018309076361653465,0.06530259650571225,0.018309076361653465,0.06530259650571225,0.06590874799143535,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,subgroup_auc_gap,35,-0.023075579427251587,-0.3444148579565546,0.31006639779726347,+,False,False,False,0.0005324823659035305,0.08693282424064468,0.0005324823659035305,0.08693282424064468,0.08695597858597871,fraction
diabetes_130,measurement_range_violation,physical_safety,xgboost,downstream_auc,35,0.07763785027441741,-0.26038550427190343,0.39036945261219225,-,False,False,False,0.0060276357952319115,0.001919190150467742,0.0060276357952319115,0.001919190150467742,0.001925000520421543,fraction
diabetes_130,measurement_range_violation,physical_safety,xgboost,downstream_ece,35,-0.013686153791896472,-0.38888158770817965,0.3295598726993506,+,False,False,False,0.0001873108056154038,0.0010718074312285298,0.0001873108056154038,0.0010718074312285298,0.0010719078258892075,fraction
diabetes_130,measurement_range_violation,physical_safety,xgboost,downstream_brier,35,0.0688040062658662,-0.2819317601346761,0.4026560078835388,+,True,False,False,0.004733991278235039,0.00023389468379016984,0.004733991278235039,0.00023389468379016984,0.00023445028492496842,fraction
diabetes_130,measurement_range_violation,physical_safety,xgboost,worst_subgroup_auc,35,0.30123881260453006,0.01907147446297561,0.5090663601571299,-,False,True,False,0.09074482221938707,0.021940755379017157,0.09074482221938707,0.021940755379017157,0.02300957960653102,fraction
diabetes_130,measurement_range_violation,physical_safety,xgboost,subgroup_auc_gap,35,-0.28465623696212156,-0.5125963052972102,-0.010481021600584216,+,False,True,False,0.08102917324143544,0.02666043729056807,0.08102917324143544,0.02666043729056807,0.02781098726438226,fraction
diabetes_130,representation_imbalance,content_safety,logreg,downstream_auc,35,0.1468040862341904,-0.20922380717706238,0.44499410076142487,-,False,False,False,0.02155143973505247,0.003634939848106661,8.137067560920475e-05,0.0036746041318495605,0.003674753643484422,fraction
diabetes_130,representation_imbalance,content_safety,logreg,downstream_ece,35,0.12964302536452116,-0.18305436151550877,0.45652068711212346,+,True,False,False,0.016807314025666042,0.0023520130472281563,7.2970926379145595e-06,0.00237202259932864,0.002372031253810328,fraction
diabetes_130,representation_imbalance,content_safety,logreg,downstream_brier,35,-0.05630195226872018,-0.3972544884496871,0.27718112337635925,+,False,False,False,0.003169909829268569,0.0002164623452301235,5.2553276679079275e-05,0.00021680054909125387,0.00021680624610542271,fraction
diabetes_130,representation_imbalance,content_safety,logreg,worst_subgroup_auc,35,0.12890330225402424,-0.2384847106623076,0.4548311491329724,-,False,False,False,0.016616061331992227,0.033732983441160005,0.0006839723156996103,0.034005144464927244,0.03401677972261585,fraction
diabetes_130,representation_imbalance,content_safety,logreg,subgroup_auc_gap,35,-0.0002544494125876524,-0.3490315678588798,0.36133033658301544,+,False,False,False,6.47445038692851e-08,0.024096409344306496,0.0006467913674871317,0.024088616188867238,0.02409641012436157,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_auc,35,0.11274783744995329,-0.1972916986696109,0.4449439169386204,-,False,False,False,0.0127120748496381,0.002031217507337004,0.0025928851977492506,0.0020416004337268905,0.0020442524098169997,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_ece,35,-0.08275024343330452,-0.39657825497932936,0.26239294019413945,+,False,False,False,0.00684760278827079,0.0010788658919907773,0.010577829218943346,0.0010768379051177591,0.0010825787938119676,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_brier,35,-0.01678736237147158,-0.36786665498182,0.31937279502089966,+,False,False,False,0.0002818155353925267,0.0002440755284249469,0.002505302911282814,0.00024380395141617318,0.00024410992783369318,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,worst_subgroup_auc,35,0.2329417185418788,-0.1410544053801987,0.534459131632094,-,False,False,False,0.05426184423724334,0.026587818333466136,0.02131684233015041,0.027046950393146276,0.027339920490065672,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,subgroup_auc_gap,35,-0.008272786794335962,-0.31614116653500796,0.34898410891816817,+,False,False,False,6.843900134467784e-05,0.029812984015160433,0.0002162033607010505,0.02981078113477594,0.029814004252955325,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_auc,35,0.058806873746288846,-0.27801609083583423,0.368109767789065,-,False,False,False,0.0034582483998141234,0.0035297985941756147,0.0002925627622774041,0.003535400653771269,0.003535917930566495,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_ece,35,0.28153211849969717,-0.047153446522341984,0.5635500358908349,+,True,False,False,0.07926033374692742,0.00227918399568176,2.0911164421266726e-05,0.00237523409759087,0.0023752589324357418,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_brier,35,0.3857617773668595,0.059599404788538764,0.6411732406278063,+,True,True,True,0.14881214887724237,0.00020394336276712815,0.0063214631992322134,0.0002203534337319758,0.00022105323135507735,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,worst_subgroup_auc,35,-0.1335073011532146,-0.4486686554283429,0.19471261361073866,-,True,False,False,0.017824199461215273,0.032653490513399074,0.005725193018115027,0.03285399715335111,0.03294845065837625,fraction
